Min Dist,Classification
3.04738402,INF
3.04777074,INF
3.04786086,INF
3.04808736,INF
3.04854393,INF
3.04939127,INF
3.05088282,INF
3.05173278,INF
3.05200076,INF
3.05247188,INF
3.05295825,IND
3.05341268,INF
3.05475998,INF
3.05978632,INF
3.05978847,INF
3.06557488,INF
3.06748438,INF
3.0688026,IND
3.07104039,INF
3.07169867,INF
3.07214975,INF
3.07238007,IND
3.07523155,INF
3.07531857,INF
3.07762289,INF
3.0777576,INF
3.07777262,INF
3.07839465,INF
3.07888484,INF
3.07958484,INF
3.08229947,INF
3.08231163,INF
3.08275104,IND
3.08314443,INF
3.08447146,INF
3.08464479,INF
3.08501577,INF
3.08508134,INF
3.08613181,INF
3.08678341,INF
3.08734703,IND
3.08789372,INF
3.09098577,INF
3.09276271,INF
3.09356618,INF
3.09466696,INF
3.09569955,INF
3.0963304,INF
3.09641242,INF
3.09674788,INF
3.09968662,INF
3.10081077,INF
3.1046977,INF
3.1048398,INF
3.10781074,INF
3.10897613,INF
3.11169314,IND
3.11281157,INF
3.1143837,INF
3.11483002,INF
3.11673427,IND
3.11726403,INF
3.11758471,INF
3.11912537,INF
3.12083721,INF
3.12114596,INF
3.12115312,INF
3.12122226,IND
3.12186885,INF
3.12193751,INF
3.12239957,INF
3.12292123,INF
3.12361288,INF
3.1238122,INF
3.12468815,IND
3.12501979,INF
3.1250751,INF
3.12618828,INF
3.12715149,INF
3.1279645,IND
3.12826824,IND
3.12892675,INF
3.12977648,INF
3.13165855,INF
3.13204503,INF
3.13350034,IND
3.1359508,IND
3.13607526,INF
3.13951921,INF
3.13962483,INF
3.13981128,INF
3.14018726,INF
3.14135909,INF
3.14136314,IND
3.14238119,INF
3.14250803,INF
3.14281845,INF
3.14285922,INF
3.14366198,INF
3.14516783,INF
3.14538884,INF
3.1454947,INF
3.14627075,INF
3.14907408,INF
3.14920855,INF
3.15282726,IND
3.15283775,INF
3.15305018,INF
3.1542964,IND
3.15443182,INF
3.15506101,IND
3.15527725,INF
3.15577269,INF
3.15865493,INF
3.15974927,INF
3.16257668,INF
3.16258717,INF
3.1626029,INF
3.16307116,INF
3.16388512,INF
3.16639686,INF
3.16931963,INF
3.16956401,INF
3.16993189,INF
3.17089295,INF
3.17203999,INF
3.17294526,INF
3.17388701,INF
3.17439103,INF
3.17665553,INF
3.17874241,INF
3.17896414,INF
3.18001318,IND
3.18018198,INF
3.18023229,INF
3.18222117,INF
3.18359661,IND
3.18387651,INF
